,names,RA,Dec,Redshift,observable,when_best,best_airmass,time_rises,g(mag),want_observe,observe_both,exp_time
65,Arp313_2,179.4337722,32.29360354,0.01045,y,03:35,1.0024,21:34,13.660,y,n,
66,Arp57_1,199.1975674,14.42769116,0.048,y,04:57,1.031,23:31,15.460,y,y,
67,Arp57_2,199.2158016,14.41690732,0.048,y,04:57,1.031,23:31,16.420,y,y,
68,Arp58_1,127.9902917,19.21122778,0.03722,y,00:11,1.013,18:38,15.130,y,y,
69,Arp58_2,128.000875,19.20155833,0.03722,y,00:11,1.013,18:38,18.170,n,n,
70,Arp72_1,236.74536,17.88418,0.011,y,07:26,1.018,01:55,13.840,y,y,
71,Arp72_2,236.722123,17.87232298,0.011,y,07:26,1.018,01:55,15.420,n,n,
72,Arp82_1,122.80625,25.20661111,0.01368,y,23:52,1.0019,18:04,13.790,y,y,
73,Arp82_2,122.8146667,25.17885833,0.01368,y,23:52,1.0019,18:04,14.660,y,y,
74,Arp84_1,209.6581667,37.42467778,0.01158,y,05:39,1.011,23:19,13.080,y,y,
75,Arp84_2,209.64016,37.45355,0.01158,y,05:39,1.011,23:19,14.190,y,y,
76,Arp87_1,175.1837083,22.42939167,0.02373,y,03:19,1.0059,21:38,14.450,y,y,
77,Arp87_2,175.185875,22.44674167,0.02373,y,03:19,1.0059,21:38,15.290,n,n,
78,Arp89_1,130.666,14.28561389,0.00687,y,00:26,1.032,19:00,12.510,n,n,
79,Arp89_2,130.697875,14.26498611,0.00687,y,00:26,1.032,19:00,14.790,n,n,
80,Arp97_1,181.4394583,31.05861111,0.02305,y,03:48,1.0009,21:43,15.340,y,y,
81,Arp97_2,181.4397917,31.07908056,0.02305,y,03:48,1.0009,21:43,15.330,y,y,
82,Heart_1,238.2859583,54.14735,0.04,y,08:35,1.11,00:30,15.700,y,n,
83,Heart_2,238.2870417,54.14896111,0.04,y,08:35,1.11,00:30,16.740,y,n,
84,NGC2802_1,139.1726346,18.96371111,0.02914,y,00:54,1.014,19:20,14.970,y,y,
85,NGC2802_2,139.1821118,18.95484444,0.02914,y,00:54,1.014,19:20,14.540,y,y,
86,NGC4320_1,185.7402917,10.547975,0.02668,y,04:07,1.052,22:45,15.240,y,n,
87,NGC4320_2,185.7411667,10.54915556,0.02668,y,04:07,1.052,22:45,15.180,y,n,
88,NGC5331_1,208.06887,2.10802,0.03304,y,05:31,1.12,00:31,18.970,n,n,
89,NGC5331_2,208.0677146,2.101258656,0.03304,y,05:31,1.12,00:31,14.890,n,n,
90,NGC5753_1,221.3285417,38.805725,0.0597,y,06:24,1.016,00:08,15.860,n,n,
91,NGC5753_2,221.35238,38.77973,0.0597,y,06:24,1.016,00:08,14.710,y,n,
92,Pair18_1,206.2099758,13.92138157,0.08245,y,05:24,1.034,01:28,17.530,y,y,
93,Pair18_2,206.2124828,13.92762096,0.08245,y,05:24,1.034,01:28,17.120,y,y,
94,UGC10650_1,255.0285417,23.13154722,0.058,y,08:40,1.0049,02:58,16.590,y,y,
95,UGC10650_2,255.029,23.12751111,0.058,y,08:40,1.0049,02:58,17.270,y,y,
96,UGC7905_1,190.9558333,54.90456111,0.01648,y,04:24,1.11,21:20,15.470,y,y,
97,UGC7905_2,190.953875,54.89616111,0.01648,y,04:24,1.11,21:20,14.430,y,y,
