,names,RA,Dec,Redshift,observable,when_best,best_airmass,time_rises,stage,exp_time
63,Arp305_2,179.6347917,27.52802222,0.01148,y,03:36,1.0001,21:47,,
64,Arp313_1,179.401874,32.2777399,0.01045,y,03:35,1.0024,21:34,,
65,Arp313_2,179.4337722,32.29360354,0.01045,y,03:35,1.0024,21:34,,
66,Arp57_1,199.1975674,14.42769116,0.048,y,04:57,1.031,23:31,,
67,Arp57_2,199.2158016,14.41690732,0.048,y,04:57,1.031,23:31,,
68,Arp58_1,127.9902917,19.21122778,0.03722,y,00:11,1.013,18:38,,
69,Arp58_2,128.000875,19.20155833,0.03722,y,00:11,1.013,18:38,,
70,Arp72_1,236.7427544,17.88458157,0.011,y,07:26,1.018,01:55,,
71,Arp72_2,236.722123,17.87232298,0.011,y,07:26,1.018,01:55,,
72,Arp82_1,122.80625,25.20661111,0.01368,y,23:52,1.0019,18:04,,
73,Arp82_2,122.8146667,25.17885833,0.01368,y,23:52,1.0019,18:04,,
74,Arp84_1,209.6581667,37.42467778,0.01158,y,05:39,1.011,23:19,,
75,Arp84_2,209.646375,37.45328889,0.01158,y,05:39,1.011,23:19,,
76,Arp87_1,175.1837083,22.42939167,0.02373,y,03:19,1.0059,21:38,,
77,Arp87_2,175.185875,22.44674167,0.02373,y,03:19,1.0059,21:38,,
78,Arp89_1,130.666,14.28561389,0.00687,y,00:26,1.032,19:00,,
79,Arp89_2,130.697875,14.26498611,0.00687,y,00:26,1.032,19:00,,
80,Arp97_1,181.4394583,31.05861111,0.02305,y,03:48,1.0009,21:43,,
81,Arp97_2,181.4397917,31.07908056,0.02305,y,03:48,1.0009,21:43,,
82,Heart_1,238.2859583,54.14735,0.04,y,08:35,1.11,00:30,,
83,Heart_2,238.2870417,54.14896111,0.04,y,08:35,1.11,00:30,,
84,NGC2802_1,139.1726346,18.96371111,0.02914,y,00:54,1.014,19:20,,
85,NGC2802_2,139.1821118,18.95484444,0.02914,y,00:54,1.014,19:20,,
86,NGC4320_1,185.7402917,10.547975,0.02668,y,04:07,1.052,22:45,,
87,NGC4320_2,185.7411667,10.54915556,0.02668,y,04:07,1.052,22:45,,
88,NGC5331_1,208.067917,2.103028,0.03304,y,05:31,1.12,00:31,,
89,NGC5331_2,208.0677146,2.101258656,0.03304,y,05:31,1.12,00:31,,
90,NGC5753_1,221.3285417,38.805725,0.0597,y,06:24,1.016,00:08,,
91,NGC5753_2,221.3427083,38.78008889,0.0597,y,06:24,1.016,00:08,,
92,Pair18_1,206.2099758,13.92138157,0.08245,y,05:24,1.034,01:28,,
93,Pair18_2,206.2124828,13.92762096,0.08245,y,05:24,1.034,01:28,,
94,UGC10650_1,255.0285417,23.13154722,0.058,y,08:40,1.0049,02:58,,
95,UGC10650_2,255.029,23.12751111,0.058,y,08:40,1.0049,02:58,,
96,UGC7905_1,190.9558333,54.90456111,0.01648,y,04:24,1.11,21:20,,
97,UGC7905_2,190.953875,54.89616111,0.01648,y,04:24,1.11,21:20,,
