#DATAMVER 8.00
# x     y      ifu_spaxel ifu_slits fibreid
# mm    mm     --         --        --
  19.450    0.572 11J     12-14    244
  19.450   -0.572 17J     20-11    407
  19.670    0.572 11K      13-9    260
  19.670   -0.572 17K      18-8    363
  19.890    0.572 11L     13-12    263
  19.890   -0.572 17L     18-12    367
  20.110    0.572 11M     13-15    266
  20.110   -0.572 17M     16-13    327
  20.330    0.572 11N      13-5    256
  20.330   -0.572 17N      20-8    404
  20.550    0.572 11O     12-16    246
  20.550   -0.572 17O     20-14    410
  20.770    0.572 11P     10-16    204
  20.770   -0.572 17P     18-20    375
  20.990    0.572 11Q      12-3    233
  20.990   -0.572 17Q      19-9    384
  21.210    0.572 11R     11-11    220
  21.210   -0.572 17R     18-14    369
  21.430    0.572 11S     10-20    208
  21.430   -0.572 17S      18-2    357
  21.650    0.572 11T     10-14    202
  21.650   -0.572 17T     17-16    350
  21.870    0.572 11U      10-7    195
  21.870   -0.572 17U     17-13    347
  22.090    0.572 11V      9-20    187
  22.090   -0.572 17V      16-5    319
  22.310    0.572 11W       9-2    169
  22.310   -0.572 17W     16-17    331
  22.530    0.572 11X      13-1    252
  17.580    0.762 10A     12-13    243
  17.800    0.762 10B      7-10    135
  17.800   -0.762 18B      17-3    337
  18.020    0.762 10C      7-14    139
  18.020   -0.762 18C      19-6    382
  18.240    0.762 10D      8-10    156
  18.240   -0.762 18D     20-10    406
  18.460    0.762 10E      8-18    164
  18.460   -0.762 18E     21-14    430
  18.680    0.762 10F      10-8    196
  18.680   -0.762 18F      22-6    443
  18.900    0.762 10G     10-15    203
  18.900   -0.762 18G     21-19    435
  19.120    0.762 10H     10-21    209
  19.120   -0.762 18H     22-19    455
  19.340    0.762 10I      11-6    215
  19.340   -0.762 18I      21-8    424
  19.560    0.762 10J      12-2    221
  19.560   -0.762 18J     22-11    448
  19.780    0.762 10K     11-12    223
  19.780   -0.762 18K      17-1    335
  20.000    0.762 10L     11-14    232
  20.000   -0.762 18L     20-18    413
  20.220    0.762 10M     11-21    230
  20.220   -0.762 18M     21-11    427
  20.440    0.762 10N     11-18    227
  20.440   -0.762 18N      21-2    418
  20.660    0.762 10O      11-9    218
  20.660   -0.762 18O     20-21    416
  20.880    0.762 10P      11-3    212
  20.880   -0.762 18P     22-14    450
  21.100    0.762 10Q     10-12    200
  21.100   -0.762 18Q      22-2    439
  21.320    0.762 10R      9-13    180
  21.320   -0.762 18R     22-20    456
  21.540    0.762 10S       9-6    173
  21.540   -0.762 18S      22-9    446
  21.760    0.762 10T      8-16    162
  21.760   -0.762 18T     21-17    433
  21.980    0.762 10U       8-2    148
  21.980   -0.762 18U      18-5    360
  22.200    0.762 10V      7-18    143
  22.200   -0.762 18V     20-13    409
  22.420    0.762 10W     12-20    250
  22.420   -0.762 18W      20-7    403
  22.640   -0.762 18X     17-18    352
  17.690    0.953 09A     11-17    226
  17.690   -0.953 19A      18-3    358
  17.910    0.953 09B      6-11    115
  17.910   -0.953 19B      23-8    465
  18.130    0.953 09C       7-2    127
  18.130   -0.953 19C      21-3    419
  18.350    0.953 09D      7-16    141
  18.350   -0.953 19D     20-19    414
  18.570    0.953 09E       8-4    150
  18.570   -0.953 19E     22-15    451
  18.790    0.953 09F      8-15    161
  18.790   -0.953 19F      22-1    438
  19.010    0.953 09G      9-10    177
  19.010   -0.953 19G      23-6    463
  19.230    0.953 09H      9-12    179
  19.230   -0.953 19H     22-13    449
  19.450    0.953 09I      9-15    182
  19.450   -0.953 19I     23-15    472
  19.670    0.953 09J      9-21    188
  19.670   -0.953 19J     23-20    477
  19.890    0.953 09K     10-13    201
  19.890   -0.953 19K     21-18    434
  20.110    0.953 09L     10-10    198
  20.110   -0.953 19L     23-13    470
  20.330    0.953 09M      10-6    194
  20.330   -0.953 19M     23-10    467
  20.550    0.953 09N      10-1    189
  20.550   -0.953 19N     21-12    428
  20.770    0.953 09O      9-19    186
  20.770   -0.953 19O     21-15    431
  20.990    0.953 09P       9-8    175
  20.990   -0.953 19P      22-7    444
  21.210    0.953 09Q      8-19    165
  21.210   -0.953 19Q      23-1    458
  21.430    0.953 09R      8-12    158
  21.430   -0.953 19R      21-9    425
  21.650    0.953 09S       7-9    134
  21.650   -0.953 19S      23-5    462
  21.870    0.953 09T       7-4    129
  21.870   -0.953 19T      21-1    417
  22.090    0.953 09U     12-18    248
  22.090   -0.953 19U     18-16    371
  22.310    0.953 09V      12-4    234
  22.310   -0.953 19V     23-17    474
  17.800    1.143 08A     10-17    205
  17.800   -1.143 20A     18-18    373
  18.020    1.143 08B      5-20    103
  18.020   -1.143 20B      20-3    399
  18.240    1.143 08C       6-3    107
  18.240   -1.143 20C     21-16    432
  18.460    1.143 08D      6-15    119
  18.460   -1.143 20D     21-10    426
  18.680    1.143 08E       8-1    147
  18.680   -1.143 20E     23-12    469
  18.900    1.143 08F       8-9    155
  18.900   -1.143 20F     23-16    473
  19.120    1.143 08G      8-13    159
  19.120   -1.143 20G      24-3    481
  19.340    1.143 08H       9-1    168
  19.340   -1.143 20H      22-8    445
  19.560    1.143 08I       9-7    174
  19.560   -1.143 20I      24-5    483
  19.780    1.143 08J       9-5    172
  19.780   -1.143 20J     22-21    457
  20.000    1.143 08K      8-17    163
  20.000   -1.143 20K     24-17    495
  20.220    1.143 08L      8-11    157
  20.220   -1.143 20L      24-9    487
  20.440    1.143 08M       8-5    151
  20.440   -1.143 20M      25-3    501
  20.660    1.143 08N       8-3    149
  20.660   -1.143 20N     24-11    489
  20.880    1.143 08O      7-17    142
  20.880   -1.143 20O     24-21    498
  21.100    1.143 08P      7-15    140
  21.100   -1.143 20P     23-21    478
  21.320    1.143 08Q      7-13    138
  21.320   -1.143 20Q     20-20    415
  21.540    1.143 08R      6-18    122
  21.540   -1.143 20R      21-4    420
  21.760    1.143 08S       6-9    113
  21.760   -1.143 20S     19-17    392
  21.980    1.143 08T     11-15    224
  21.980   -1.143 20T     19-21    396
  22.200    1.143 08U      6-16    120
  22.200   -1.143 20U      25-4    502
  17.690    1.334 07a      11-2    211
  17.910   -1.334 21A     19-19    394
  18.130    1.334 07B      4-10     72
  18.130   -1.334 21B      23-7    464
  18.350    1.334 07C      4-16     78
  18.350   -1.334 21C      23-9    466
  18.570    1.334 07D      5-12     95
  18.570   -1.334 21D      24-4    482
  18.790    1.334 07E      5-15     98
  18.790   -1.334 21E     24-10    488
  19.010    1.334 07F      6-10    114
  19.010   -1.334 21F     25-18    516
  19.230    1.334 07G       7-1    126
  19.230   -1.334 21G     24-13    491
  19.450    1.334 07H       7-8    133
  19.450   -1.334 21H      26-4    523
  19.670    1.334 07I      7-11    136
  19.670   -1.334 21I      26-7    526
  19.890    1.334 07J       7-3    128
  19.890   -1.334 21J     25-10    508
  20.110    1.334 07K      6-17    121
  20.110   -1.334 21K     26-10    529
  20.330    1.334 07L      6-14    118
  20.330   -1.334 21L     26-13    532
  20.550    1.334 07M       6-2    106
  20.550   -1.334 21M      25-8    506
  20.770    1.334 07N      5-21    104
  20.770   -1.334 21N     25-14    512
  20.990    1.334 07O       5-9     92
  20.990   -1.334 21O     24-15    493
  21.210    1.334 07P       5-7     90
  21.210   -1.334 21P      25-1    499
  21.430    1.334 07Q      4-14     76
  21.430   -1.334 21Q      24-6    484
  21.650    1.334 07R      11-5    214
  21.650   -1.334 21R     23-14    471
  21.870    1.334 07S      10-3    191
  21.870   -1.334 21S      23-2    459
  22.090    1.334 07T      10-5    193
  22.090   -1.334 21T     25-21    519
  18.020    1.524 06A       9-4    171
  18.020   -1.524 22A     20-15    411
  18.240    1.524 06B       8-8    154
  18.240   -1.524 22B     21-20    436
  18.460    1.524 06C      9-11    178
  18.460   -1.524 22C     24-18    496
  18.680    1.524 06D      4-13     75
  18.680   -1.524 22D      24-7    485
  18.900    1.524 06E       5-1     84
  18.900   -1.524 22E      25-2    500
  19.120    1.524 06F       5-8     91
  19.120   -1.524 22F     25-15    513
  19.340    1.524 06G       6-1    105
  19.340   -1.524 22G      27-1    541
  19.560    1.524 06H      6-12    116
  19.560   -1.524 22H     26-12    531
  19.780    1.524 06I       6-8    112
  19.780   -1.524 22I     24-20    497
  20.000    1.524 06J       6-4    108
  20.000   -1.524 22J      27-9    549
  20.220    1.524 06K      5-19    102
  20.220   -1.524 22K     26-18    537
  20.440    1.524 06L      5-13     96
  20.440   -1.524 22L      27-6    546
  20.660    1.524 06M      4-17     79
  20.660   -1.524 22M     27-13    553
  20.880    1.524 06N       4-8     70
  20.880   -1.524 22N      26-6    525
  21.100    1.524 06O       4-2     64
  21.100   -1.524 22O     25-11    509
  21.320    1.524 06P       8-6    152
  21.320   -1.524 22P     25-17    515
  21.540    1.524 06Q      9-14    181
  21.540   -1.524 22Q     24-12    490
  21.760    1.524 06R      8-20    166
  21.760   -1.524 22R      21-7    423
  21.980    1.524 06S      9-16    183
  21.980   -1.524 22S     23-19    476
  18.130    1.715 05A      7-19    144
  18.130   -1.715 23A      21-5    421
  18.350    1.715 05B      2-13     33
  18.350   -1.715 23B      20-5    401
  18.570    1.715 05C       3-8     49
  18.570   -1.715 23C     26-11    530
  18.790    1.715 05D      3-16     57
  18.790   -1.715 23D      25-9    507
  19.010    1.715 05E       4-1     63
  19.010   -1.715 23E     26-19    538
  19.230    1.715 05F       4-9     71
  19.230   -1.715 23F     27-10    550
  19.450    1.715 05G      4-15     77
  19.450   -1.715 23G     27-20    560
  19.670    1.715 05H      5-14     97
  19.670   -1.715 23H     28-14    575
  19.890    1.715 05I      5-11     94
  19.890   -1.715 23I     25-12    510
  20.110    1.715 05J       5-6     89
  20.110   -1.715 23J     28-11    572
  20.330    1.715 05K       5-2     85
  20.330   -1.715 23K      26-5    524
  20.550    1.715 05L      4-21     83
  20.550   -1.715 23L     25-16    514
  20.770    1.715 05M      4-11     73
  20.770   -1.715 23M     27-16    556
  20.990    1.715 05N      3-10     51
  20.990   -1.715 23N      28-6    567
  21.210    1.715 05O       3-2     43
  21.210   -1.715 23O      26-8    527
  21.430    1.715 05P      3-13     54
  21.430   -1.715 23P     26-21    540
  21.650    1.715 05Q       7-7    132
  21.650   -1.715 23Q      22-3    440
  21.870    1.715 05R      3-15     56
  21.870   -1.715 23R     29-21    603
  18.240   -1.905 24A      22-5    442
  18.460    1.905 04B       6-5    109
  18.460   -1.905 24B     22-16    452
  18.680    1.905 04C      6-21    125
  18.680   -1.905 24C     26-14    533
  18.900    1.905 04D       2-8     13
  18.900   -1.905 24D      27-8    548
  19.120    1.905 04E      2-20     28
  19.120   -1.905 24E      29-4    586
  19.340    1.905 04F      1-14     40
  19.340   -1.905 24F      28-7    568
  19.560    1.905 04G      3-21     62
  19.560   -1.905 24G     29-13    595
  19.780    1.905 04H       4-3     65
  19.780   -1.905 24H     26-20    539
  20.000    1.905 04I       4-7     69
  20.000   -1.905 24I      29-9    591
  20.220    1.905 04J      3-17     58
  20.220   -1.905 24J     28-19    580
  20.440    1.905 04K      3-14     55
  20.440   -1.905 24K      27-2    542
  20.660    1.905 04L       3-7     48
  20.660   -1.905 24L      29-1    583
  20.880    1.905 04M      2-14     44
  20.880   -1.905 24M     28-13    574
  21.100    1.905 04N       3-3     34
  21.100   -1.905 24N      29-6    588
  21.320    1.905 04O      1-20     19
  21.320   -1.905 24O     29-16    598
  21.540    1.905 04P      5-16     99
  21.540   -1.905 24P     29-19    601
  21.760    1.905 04Q       5-5     88
  21.760   -1.905 24Q     24-14    492
  21.980    1.905 04R      4-20     82
  18.130    2.096 03a       3-6     47
  18.350    2.096 03A       4-4     66
  18.350   -2.096 25A      23-4    461
  18.570    2.096 03B       1-6      5
  18.570   -2.096 25B     28-21    582
  18.790    2.096 03C      1-18     17
  18.790   -2.096 25C     27-21    561
  19.010    2.096 03D       2-6     26
  19.010   -2.096 25D     27-14    554
  19.230    2.096 03E       3-1     42
  19.230   -2.096 25E      29-2    584
  19.450    2.096 03F       2-2     22
  19.450   -2.096 25F     28-15    576
  19.670    2.096 03G      3-11     52
  19.670   -2.096 25G     28-20    581
  19.890    2.096 03H       3-9     50
  19.890   -2.096 25H     29-14    596
  20.110    2.096 03I      2-21     41
  20.110   -2.096 25I      28-1    562
  20.330    2.096 03J      2-16     36
  20.330   -2.096 25J      29-5    587
  20.550    2.096 03K      2-12     32
  20.550   -2.096 25K      28-8    569
  20.770    2.096 03L       2-9     29
  20.770   -2.096 25L     27-11    551
  20.990    2.096 03M      1-16     15
  20.990   -2.096 25M      29-8    590
  21.210    2.096 03N      1-12     11
  21.210   -2.096 25N      25-7    505
  21.430    2.096 03O      3-18     59
  21.430   -2.096 25O     22-18    454
  21.650   -2.096 25P      24-1    479
  18.460    2.286 02A      3-20     61
  18.460   -2.286 26A     25-19    517
  18.680    2.286 02B      2-19     39
  18.680   -2.286 26B      26-3    522
  18.900    2.286 02C       7-5    130
  18.900   -2.286 26C     26-17    536
  19.120    2.286 02D       1-8      7
  19.120   -2.286 26D      28-4    565
  19.340    2.286 02E      2-10     30
  19.340   -2.286 26E     28-18    579
  19.560    2.286 02F      1-15     14
  19.560   -2.286 26F       0-0    573
  19.780    2.286 02G       2-7     27
  19.780   -2.286 26G     29-18    600
  20.000    2.286 02H       2-1     21
  20.000   -2.286 26H      27-7    547
  20.220    2.286 02I      1-21     20
  20.220   -2.286 26I      29-3    585
  20.440    2.286 02J      1-19     18
  20.440   -2.286 26J     27-15    555
  20.660    2.286 02K       1-7      6
  20.660   -2.286 26K     29-17    599
  20.880    2.286 02L       1-5      4
  20.880   -2.286 26L     29-10    592
  21.100    2.286 02M       6-7    111
  21.100   -2.286 26M     27-19    559
  21.320    2.286 02N       2-5     25
  21.320   -2.286 26N     26-15    534
  21.540    2.286 02O       3-4     45
  21.540   -2.286 26O      26-1    520
  18.570    2.477 01A      1-10      9
  18.570   -2.477 27A       0-0    504
  18.790    2.477 01B       2-3     23
  18.790   -2.477 27B     24-16    494
  19.010    2.477 01C       5-3     86
  19.010   -2.477 27C     27-17    557
  19.230    2.477 01D      5-18    101
  19.230   -2.477 27D      27-5    545
  19.450    2.477 01E      7-21    146
  19.450   -2.477 27E     29-12    594
  19.670    2.477 01F       1-4      3
  19.670   -2.477 27F      28-5    566
  19.890    2.477 01G      1-17     16
  19.890   -2.477 27G     29-20    602
  20.110    2.477 01H      1-13     12
  20.110   -2.477 27H      28-9    570
  20.330    2.477 01I       1-9      8
  20.330   -2.477 27I     29-15    597
  20.550    2.477 01J      2-15     35
  20.550   -2.477 27J      29-7    589
  20.770    2.477 01K      6-19    123
  20.770   -2.477 27K     28-16    577
  20.990    2.477 01L      4-18     80
  20.990   -2.477 27L      28-2    563
  21.210    2.477 01M      2-17     37
  21.210   -2.477 27M      27-3    543
  21.430    2.477 01N       4-6     68
  21.430   -2.477 27N       1-2      1
  16.039    9.031 S03       4-5     67
  16.259    9.031 S04      5-17    100
  16.479    9.031 S05      6-20    124
  16.149    9.221 S01      1-11     10
  16.149    8.840 S06       8-7    153
  16.369    9.221 S02      2-18     38
  16.369    8.840 S07      9-17    184
  23.521    9.031 S10      4-19     81
  23.741    9.031 S11       6-6    110
  23.961    9.031 S12      7-20    145
  23.631    9.221 S08       2-4     24
  23.631    8.840 S13      8-21    167
  23.851    9.221 S09      3-19     60
  23.851    8.840 S14      10-4    192
  28.811    3.741 S17     13-17    268
  29.031    3.741 S18      15-3    296
  29.251    3.741 S19     16-16    330
  28.921    3.931 S15      11-1    210
  28.921    3.550 S20     17-19    353
  29.141    3.931 S16      12-5    235
  29.141    3.550 S21      19-5    381
  28.811   -3.741 S24      13-2    253
  29.031   -3.741 S25     21-21    437
  29.251   -3.741 S26     14-18    290
  28.921   -3.550 S22     11-16    225
  28.921   -3.931 S27      23-3    460
  29.141   -3.550 S23     20-16    412
  29.141   -3.931 S28     15-18    311
  23.521   -9.031 S31      26-2    521
  23.741   -9.031 S32     18-17    372
  23.961   -9.031 S33      27-4    544
  23.631   -8.840 S29       1-3      2
  23.631   -9.221 S34     19-20    395
  23.851   -8.840 S30      17-4    338
  23.851   -9.221 S35     28-17    578
  16.039   -9.031 S38      24-2    480
  16.259   -9.031 S39      25-5    503
  16.479   -9.031 S40     26-16    535
  16.149   -8.840 S36      21-6    422
  16.149   -9.221 S41      28-3    564
  16.369   -8.840 S37     22-17    453
  16.369   -9.221 S42     29-11    593
  10.749   -3.741 S45       7-6    131
  10.969   -3.741 S46       9-3    170
  11.189   -3.741 S47     10-18    206
  10.859   -3.550 S43       3-5     46
  10.859   -3.931 S48     12-19    249
  11.079   -3.550 S44       5-4     87
  11.079   -3.931 S49      14-5    277
  10.749    3.741 S52      20-4    400
  10.969    3.741 S53      22-4    441
  11.189    3.741 S54     23-18    475
  10.859    3.931 S50      16-4    318
  10.859    3.550 S55     25-20    518
  11.079    3.931 S51      18-4    359
  11.079    3.550 S56     27-18    558
